id,name,schema,object_type,source_project,medallion_layer,classification,overall_score,sql_dialect,procedural_logic,ssis_control_flow,ssis_data_flow,dependency_criticality,ordering_constraints,data_type_risk,performance_risk,security_risk,operational_scheduling,testing_complexity,rollback_complexity,direct_dependents,transitive_dependents,top_risk_factors,recommended_test_depth
OLTP:Application.Configuration_ApplyRowLevelSecurity,Configuration_ApplyRowLevelSecurity,Application,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.08,3,1,0,0,2,0,1,0,5,0,1,0,2,5,APPLY(+3); RAISERROR(+1); fan_in=2(moderate); nvarchar\(max\)(+1); EXECUTE\s+AS\s+OWNER(+2); ROW\s+LEVEL\s+SECURITY(+4),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:DataLoadSimulation.DailyProcessToCreateHistory,DailyProcessToCreateHistory,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.08,0,5,0,0,2,1,0,0,4,0,1,0,3,3,WHILE(+3); #\w+(+2); RAISERROR(+1); fan_in=3(moderate); fan_out=25(broad_upstream_reads); ROW\s+LEVEL\s+SECURITY(+4),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:DataLoadSimulation.RecordColdRoomTemperatures,RecordColdRoomTemperatures,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,REWRITE_REQUIRED,1.08,2,4,0,0,1,0,0,0,2,0,1,3,1,4,OUTPUT\s+INSERTED(+2); WHILE(+3); RAISERROR(+1); fan_in=1(low); EXECUTE\s+AS\s+OWNER(+2); derived_avg=1.3,"Full regression suite: unit tests per logic branch/condition, golden-record reconciliation against source, edge-case/boundary tests, side-by-side parallel run (Tier 3)"
OLTP:DataLoadSimulation.RecordDeliveryVanTemperatures,RecordDeliveryVanTemperatures,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.08,0,3,0,0,1,0,5,0,2,0,2,0,1,4,WHILE(+3); fan_in=1(low); geometry(+5); EXECUTE\s+AS\s+OWNER(+2); derived_avg=1.5,"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Website.RecordVehicleTemperature,RecordVehicleTemperature,Website,PROCEDURE,OLTP,SILVER,MANUAL_REDESIGN,1.08,4,1,0,0,0,0,5,0,2,0,1,0,0,0,OPENJSON(+4); RAISERROR(+1); geometry(+5); nvarchar\(max\)(+1); EXECUTE\s+AS\s+OWNER(+2); derived_avg=1.0,"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
DW:Integration.GetLastETLCutoffTime,GetLastETLCutoffTime,Integration,PROCEDURE,DW,BRONZE,MANUAL_REDESIGN,1.08,0,1,0,0,5,2,0,0,2,2,1,0,13,35,RAISERROR(+1); fan_in=13(critical); watermark_dependent_run_order(+2); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2); derived_avg=1.0,"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
DW:Integration.MigrateStagedCityData,MigrateStagedCityData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.08,1,0,0,0,1,3,0,0,2,2,1,3,1,18,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); fan_out=5(broad_upstream_reads); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2),Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedCustomerData,MigrateStagedCustomerData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.08,1,0,0,0,1,3,0,0,2,2,1,3,1,18,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); fan_out=5(broad_upstream_reads); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2),Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedEmployeeData,MigrateStagedEmployeeData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.08,1,0,0,0,1,3,0,0,2,2,1,3,1,18,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); fan_out=5(broad_upstream_reads); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2),Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedOrderData,MigrateStagedOrderData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.08,1,0,0,0,1,3,0,0,2,2,1,3,1,23,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); fan_out=8(broad_upstream_reads); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2),Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedPurchaseData,MigrateStagedPurchaseData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.08,1,0,0,0,1,3,0,0,2,2,1,3,1,23,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); fan_out=7(broad_upstream_reads); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2),Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedSaleData,MigrateStagedSaleData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.08,1,0,0,0,1,3,0,0,2,2,1,3,1,23,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); fan_out=9(broad_upstream_reads); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2),Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedTransactionData,MigrateStagedTransactionData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.08,1,0,0,0,1,3,0,0,2,2,1,3,1,23,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); fan_out=7(broad_upstream_reads); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2),Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
OLTP:DataLoadSimulation.InvoicePickedOrders,InvoicePickedOrders,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.0,1,5,0,0,1,1,1,2,0,0,1,0,1,4,TOP\s*\((+1); CURSOR(+5); WHILE(+3); fan_in=1(low); fan_out=13(broad_upstream_reads); nvarchar\(max\)(+1),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Website.RecordColdRoomTemperatures,RecordColdRoomTemperatures,Website,PROCEDURE,OLTP,SILVER,MANUAL_REDESIGN,1.0,5,4,0,0,0,0,0,0,2,0,1,0,0,0,MERGE(+3); APPLY(+3); WHILE(+3); RAISERROR(+1); EXECUTE\s+AS\s+OWNER(+2); derived_avg=0.7,"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
DW:Integration.MigrateStagedPaymentMethodData,MigrateStagedPaymentMethodData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.0,1,0,0,0,1,2,0,0,2,2,1,3,1,18,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2); derived_avg=0.7,Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedStockHoldingData,MigrateStagedStockHoldingData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.0,1,0,0,0,1,2,0,0,2,2,1,3,1,23,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2); derived_avg=0.7,Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedStockItemData,MigrateStagedStockItemData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.0,1,0,0,0,1,2,0,0,2,2,1,3,1,18,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2); derived_avg=0.7,Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedSupplierData,MigrateStagedSupplierData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.0,1,0,0,0,1,2,0,0,2,2,1,3,1,18,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2); derived_avg=0.7,Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.MigrateStagedTransactionTypeData,MigrateStagedTransactionTypeData,Integration,PROCEDURE,DW,BRONZE,PARTIAL_AUTOMATION,1.0,1,0,0,0,1,2,0,0,2,2,1,3,1,18,TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); EXECUTE\s+AS\s+OWNER(+2); watermark_state_externalised(+2); derived_avg=0.7,Row-level reconciliation (statistically sampled) + business-rule unit tests for the automated portion + manual review of generated code (Tier 2)
DW:Integration.City_Staging,City_Staging,Integration,TABLE,DW,BRONZE,MANUAL_REDESIGN,1.0,1,0,0,0,1,0,5,0,0,0,2,3,1,19,IDENTITY\s*\((+1); fan_in=1(low); geography(+5); derived_avg=1.5; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.Cities_Archive,Cities_Archive,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,0.92,0,0,0,0,1,0,5,0,0,0,2,3,1,1,fan_in=1(low); geography(+5); derived_avg=1.5; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.Countries_Archive,Countries_Archive,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,0.92,0,0,0,0,1,0,5,0,0,0,2,3,1,1,fan_in=1(low); geography(+5); derived_avg=1.5; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.StateProvinces_Archive,StateProvinces_Archive,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,0.92,0,0,0,0,1,0,5,0,0,0,2,3,1,1,fan_in=1(low); geography(+5); derived_avg=1.5; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:DataLoadSimulation.DeactivateTemporalTablesBeforeDataLoad,DeactivateTemporalTablesBeforeDataLoad,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,REWRITE_REQUIRED,0.92,4,1,0,0,1,0,1,0,0,0,1,3,1,4,FOR\s+SYSTEM_TIME(+4); RAISERROR(+1); fan_in=1(low); nvarchar\(max\)(+1); derived_avg=1.0; scd2_history_state(+3),"Full regression suite: unit tests per logic branch/condition, golden-record reconciliation against source, edge-case/boundary tests, side-by-side parallel run (Tier 3)"
OLTP:DataLoadSimulation.MakeTemporalChanges,MakeTemporalChanges,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,REWRITE_REQUIRED,0.92,1,4,0,0,1,1,0,0,0,0,1,3,1,4,TOP\s*\((+1); WHILE(+3); RAISERROR(+1); fan_in=1(low); fan_out=7(broad_upstream_reads); derived_avg=1.3,"Full regression suite: unit tests per logic branch/condition, golden-record reconciliation against source, edge-case/boundary tests, side-by-side parallel run (Tier 3)"
